severity_kw,duration_min,threshold_type,abs_thr_g,affects,seed,warning_detected,warning_latency_min,critical_detected,critical_latency_min,attribution,attribution_correct,n_fp_warnings,scenario,threshold_value,fp_rate_per_production_hour,threshold_pct,sigma_k
1.5,240.0,absolute,24.0,machine,46,True,8.0,True,14.0,machine,True,0,with_anomaly,24.0,,,
1.5,240.0,absolute,24.0,machine,47,True,21.0,True,27.0,machine,True,0,with_anomaly,24.0,,,
1.5,240.0,absolute,24.0,machine,48,True,11.0,True,17.0,machine,True,0,with_anomaly,24.0,,,
1.5,240.0,absolute,24.0,machine,49,True,16.0,True,22.0,machine,True,0,with_anomaly,24.0,,,
0.0,0.0,absolute,24.0,,242,,,,,,,0,no_anomaly,24.0,0.0,,
0.0,0.0,absolute,24.0,,243,,,,,,,0,no_anomaly,24.0,0.0,,
0.0,0.0,absolute,24.0,,244,,,,,,,0,no_anomaly,24.0,0.0,,
0.0,0.0,absolute,24.0,,245,,,,,,,0,no_anomaly,24.0,0.0,,
0.0,0.0,absolute,24.0,,246,,,,,,,0,no_anomaly,24.0,0.0,,
0.0,0.0,absolute,24.0,,247,,,,,,,0,no_anomaly,24.0,0.0,,
0.0,0.0,absolute,24.0,,248,,,,,,,0,no_anomaly,24.0,0.0,,
0.0,0.0,absolute,24.0,,249,,,,,,,0,no_anomaly,24.0,0.0,,
1.5,240.0,absolute,26.0,machine,42,False,,False,,,,0,with_anomaly,26.0,,,
1.5,240.0,absolute,26.0,machine,43,True,17.0,True,167.0,machine,True,0,with_anomaly,26.0,,,
1.5,240.0,absolute,26.0,machine,44,False,,False,,,,0,with_anomaly,26.0,,,
1.5,240.0,absolute,26.0,machine,45,True,21.0,False,,machine,True,0,with_anomaly,26.0,,,
1.5,240.0,absolute,26.0,machine,46,True,11.0,True,31.0,machine,True,0,with_anomaly,26.0,,,
1.5,240.0,absolute,26.0,machine,47,True,105.0,True,150.0,spindle,False,0,with_anomaly,26.0,,,
1.5,240.0,absolute,26.0,machine,48,True,134.0,True,147.0,spindle,False,0,with_anomaly,26.0,,,
1.5,240.0,absolute,26.0,machine,49,True,239.0,False,,spindle,False,0,with_anomaly,26.0,,,
0.0,0.0,absolute,26.0,,242,,,,,,,0,no_anomaly,26.0,0.0,,
0.0,0.0,absolute,26.0,,243,,,,,,,0,no_anomaly,26.0,0.0,,
0.0,0.0,absolute,26.0,,244,,,,,,,0,no_anomaly,26.0,0.0,,
0.0,0.0,absolute,26.0,,245,,,,,,,0,no_anomaly,26.0,0.0,,
0.0,0.0,absolute,26.0,,246,,,,,,,0,no_anomaly,26.0,0.0,,
0.0,0.0,absolute,26.0,,247,,,,,,,0,no_anomaly,26.0,0.0,,
0.0,0.0,absolute,26.0,,248,,,,,,,0,no_anomaly,26.0,0.0,,
0.0,0.0,absolute,26.0,,249,,,,,,,0,no_anomaly,26.0,0.0,,
1.5,240.0,absolute,28.0,machine,42,False,,False,,,,0,with_anomaly,28.0,,,
1.5,240.0,absolute,28.0,machine,43,False,,False,,,,0,with_anomaly,28.0,,,
1.5,240.0,absolute,28.0,machine,44,False,,False,,,,0,with_anomaly,28.0,,,
1.5,240.0,absolute,28.0,machine,45,False,,False,,,,0,with_anomaly,28.0,,,
1.5,240.0,absolute,28.0,machine,46,False,,False,,,,0,with_anomaly,28.0,,,
1.5,240.0,absolute,28.0,machine,47,True,144.0,False,,machine,True,0,with_anomaly,28.0,,,
1.5,240.0,absolute,28.0,machine,48,False,,False,,,,0,with_anomaly,28.0,,,
1.5,240.0,absolute,28.0,machine,49,False,,False,,,,0,with_anomaly,28.0,,,
