severity_kw,duration_min,affects,profile,ramp_s,seed,warning_detected,warning_latency_min,critical_detected,critical_latency_min,attribution,attribution_correct,n_fp_warnings
2.0,240,spindle,ramp,180,49,True,13.0,True,19.0,spindle,True,0
2.0,240,spindle,ramp,180,50,True,10.0,True,16.0,spindle,True,0
2.0,240,spindle,ramp,180,51,True,13.0,True,19.0,spindle,True,0
3.0,240,spindle,ramp,180,42,True,13.0,True,19.0,spindle,True,0
3.0,240,spindle,ramp,180,43,True,10.0,True,16.0,spindle,True,0
3.0,240,spindle,ramp,180,44,True,11.0,True,17.0,spindle,True,0
3.0,240,spindle,ramp,180,45,True,21.0,True,27.0,spindle,True,0
3.0,240,spindle,ramp,180,46,True,7.0,True,13.0,spindle,True,0
3.0,240,spindle,ramp,180,47,True,21.0,True,27.0,spindle,True,0
3.0,240,spindle,ramp,180,48,True,5.0,True,11.0,spindle,True,0
3.0,240,spindle,ramp,180,49,True,10.0,True,16.0,spindle,True,0
3.0,240,spindle,ramp,180,50,True,10.0,True,16.0,spindle,True,0
3.0,240,spindle,ramp,180,51,True,9.0,True,15.0,spindle,True,0
4.0,240,spindle,ramp,180,42,True,13.0,True,19.0,spindle,True,0
4.0,240,spindle,ramp,180,43,True,8.0,True,14.0,spindle,True,0
4.0,240,spindle,ramp,180,44,True,9.0,True,15.0,spindle,True,0
4.0,240,spindle,ramp,180,45,True,21.0,True,27.0,spindle,True,0
4.0,240,spindle,ramp,180,46,True,6.0,True,12.0,spindle,True,0
4.0,240,spindle,ramp,180,47,True,21.0,True,27.0,spindle,True,0
4.0,240,spindle,ramp,180,48,True,5.0,True,11.0,spindle,True,0
4.0,240,spindle,ramp,180,49,True,8.0,True,14.0,spindle,True,0
4.0,240,spindle,ramp,180,50,True,10.0,True,16.0,spindle,True,0
4.0,240,spindle,ramp,180,51,True,7.0,True,13.0,spindle,True,0
1.0,240,spindle,ramp,600,42,False,,False,,,,0
1.0,240,spindle,ramp,600,43,False,,False,,,,0
1.0,240,spindle,ramp,600,44,False,,False,,,,0
1.0,240,spindle,ramp,600,45,False,,False,,,,0
1.0,240,spindle,ramp,600,46,False,,False,,,,0
1.0,240,spindle,ramp,600,47,True,21.0,False,,spindle,True,0
1.0,240,spindle,ramp,600,48,False,,False,,,,0
1.0,240,spindle,ramp,600,49,False,,False,,,,0
