parameter,mu_star,mu_star_conf,sigma
severity_kW,0.5775000000000001,0.19543315744185327,0.49456919051890647
onset_ramp_s,0.45,0.22175917915652144,0.4939102837773806
baseline_window_min,0.45750000000000013,0.17598795908199624,0.43657609211972015
sampling_s,0.14250000000000002,0.10595553830544344,0.26331639963319703
rel_threshold_pct,0.45750000000000013,0.1489223849806903,0.4056427647962909
offline_standby_kW,0.0,0.0,0.0
aux_base_kW,0.12,0.07468275881038697,0.17274867658873078
throughput_pph,0.0,0.0,0.0
