severity_kw,duration_min,sampling_s,persist_w,persist_c,affects,seed,warning_detected,warning_latency_min,critical_detected,critical_latency_min,attribution,attribution_correct,n_fp_warnings
1.0,240,60,3,9,machine,50,True,10.0,True,16.0,machine,True,0
1.0,240,60,3,9,machine,51,False,,False,,,,0
1.0,240,300,2,4,machine,42,False,,False,,,,0
1.0,240,300,2,4,machine,43,False,,False,,,,0
1.0,240,300,2,4,machine,44,False,,False,,,,0
1.0,240,300,2,4,machine,45,True,20.0,False,,machine,True,0
1.0,240,300,2,4,machine,46,True,5.0,False,,machine,True,0
1.0,240,300,2,4,machine,47,True,20.0,False,,machine,True,0
1.0,240,300,2,4,machine,48,False,,False,,,,0
1.0,240,300,2,4,machine,49,False,,False,,,,0
1.0,240,300,2,4,machine,50,True,10.0,False,,machine,True,0
1.0,240,300,2,4,machine,51,False,,False,,,,0
1.0,240,900,2,4,machine,42,False,,False,,,,0
1.0,240,900,2,4,machine,43,False,,False,,,,0
1.0,240,900,2,4,machine,44,False,,False,,,,0
1.0,240,900,2,4,machine,45,False,,False,,,,0
1.0,240,900,2,4,machine,46,False,,False,,,,0
1.0,240,900,2,4,machine,47,False,,False,,,,0
1.0,240,900,2,4,machine,48,False,,False,,,,0
1.0,240,900,2,4,machine,49,False,,False,,,,0
1.0,240,900,2,4,machine,50,False,,False,,,,0
1.0,240,900,2,4,machine,51,False,,False,,,,0
1.5,240,30,6,18,machine,42,True,14.0,True,20.0,spindle,False,0
1.5,240,30,6,18,machine,43,True,18.0,False,,machine,True,0
1.5,240,30,6,18,machine,44,False,,False,,,,0
1.5,240,30,6,18,machine,45,False,,False,,,,0
1.5,240,30,6,18,machine,46,True,11.5,True,17.5,machine,True,0
1.5,240,30,6,18,machine,47,True,22.0,True,28.0,machine,True,0
1.5,240,30,6,18,machine,48,False,,False,,,,0
1.5,240,30,6,18,machine,49,True,17.5,True,23.5,machine,True,0
1.5,240,30,6,18,machine,50,True,12.0,True,18.0,machine,True,0
1.5,240,30,6,18,machine,51,False,,False,,,,0
1.5,240,60,3,9,machine,42,True,13.0,True,19.0,machine,True,0
1.5,240,60,3,9,machine,43,True,17.0,False,,machine,True,0
1.5,240,60,3,9,machine,44,False,,False,,,,0
1.5,240,60,3,9,machine,45,True,21.0,False,,machine,True,0
1.5,240,60,3,9,machine,46,True,9.0,True,15.0,machine,True,0
1.5,240,60,3,9,machine,47,True,21.0,True,27.0,machine,True,0
1.5,240,60,3,9,machine,48,True,14.0,False,,machine,True,0
1.5,240,60,3,9,machine,49,True,17.0,True,23.0,machine,True,0
1.5,240,60,3,9,machine,50,True,10.0,True,16.0,machine,True,0
1.5,240,60,3,9,machine,51,False,,False,,,,0
1.5,240,300,2,4,machine,42,True,15.0,False,,machine,True,0
1.5,240,300,2,4,machine,43,True,20.0,False,,machine,True,0
1.5,240,300,2,4,machine,44,False,,False,,,,0
1.5,240,300,2,4,machine,45,True,20.0,False,,machine,True,0
1.5,240,300,2,4,machine,46,True,5.0,True,15.0,machine,True,0
1.5,240,300,2,4,machine,47,True,20.0,False,,machine,True,0
1.5,240,300,2,4,machine,48,False,,False,,,,0
1.5,240,300,2,4,machine,49,False,,False,,,,0
1.5,240,300,2,4,machine,50,True,10.0,False,,machine,True,0
1.5,240,300,2,4,machine,51,True,15.0,False,,machine,True,0
1.5,240,900,2,4,machine,42,False,,False,,,,0
1.5,240,900,2,4,machine,43,False,,False,,,,0
1.5,240,900,2,4,machine,44,False,,False,,,,0
1.5,240,900,2,4,machine,45,False,,False,,,,0
1.5,240,900,2,4,machine,46,False,,False,,,,0
1.5,240,900,2,4,machine,47,False,,False,,,,0
1.5,240,900,2,4,machine,48,False,,False,,,,0
1.5,240,900,2,4,machine,49,False,,False,,,,0
1.5,240,900,2,4,machine,50,False,,False,,,,0
1.5,240,900,2,4,machine,51,False,,False,,,,0
2.0,240,30,6,18,machine,42,True,14.0,True,20.0,machine,True,0
2.0,240,30,6,18,machine,43,True,14.5,True,20.5,machine,True,0
2.0,240,30,6,18,machine,44,True,14.5,True,20.5,machine,True,0
2.0,240,30,6,18,machine,45,True,23.0,True,29.0,machine,True,0
2.0,240,30,6,18,machine,46,True,9.0,True,15.0,machine,True,0
2.0,240,30,6,18,machine,47,True,22.0,True,28.0,machine,True,0
2.0,240,30,6,18,machine,48,True,7.5,True,13.5,machine,True,0
2.0,240,30,6,18,machine,49,True,13.5,True,19.5,machine,True,0
2.0,240,30,6,18,machine,50,True,12.0,True,18.0,machine,True,0
2.0,240,30,6,18,machine,51,True,13.5,True,19.5,machine,True,0
2.0,240,60,3,9,machine,42,True,13.0,True,19.0,machine,True,0
2.0,240,60,3,9,machine,43,True,14.0,True,20.0,machine,True,0
2.0,240,60,3,9,machine,44,True,14.0,True,20.0,machine,True,0
2.0,240,60,3,9,machine,45,True,21.0,True,27.0,machine,True,0
2.0,240,60,3,9,machine,46,True,8.0,True,14.0,machine,True,0
2.0,240,60,3,9,machine,47,True,21.0,True,27.0,machine,True,0
2.0,240,60,3,9,machine,48,True,7.0,True,13.0,machine,True,0
2.0,240,60,3,9,machine,49,True,13.0,True,19.0,machine,True,0
2.0,240,60,3,9,machine,50,True,10.0,True,16.0,machine,True,0
2.0,240,60,3,9,machine,51,True,13.0,True,19.0,machine,True,0
2.0,240,300,2,4,machine,42,True,15.0,False,,machine,True,0
2.0,240,300,2,4,machine,43,True,15.0,False,,machine,True,0
2.0,240,300,2,4,machine,44,True,15.0,False,,machine,True,0
2.0,240,300,2,4,machine,45,True,20.0,False,,machine,True,0
2.0,240,300,2,4,machine,46,True,5.0,True,15.0,machine,True,0
2.0,240,300,2,4,machine,47,True,20.0,True,30.0,machine,True,0
2.0,240,300,2,4,machine,48,True,5.0,False,,machine,True,0
2.0,240,300,2,4,machine,49,True,15.0,True,25.0,machine,True,0
2.0,240,300,2,4,machine,50,True,10.0,False,,machine,True,0
2.0,240,300,2,4,machine,51,True,15.0,False,,machine,True,0
2.0,240,900,2,4,machine,42,False,,False,,,,0
2.0,240,900,2,4,machine,43,True,15.0,False,,machine,True,0
2.0,240,900,2,4,machine,44,False,,False,,,,0
2.0,240,900,2,4,machine,45,False,,False,,,,0
2.0,240,900,2,4,machine,46,False,,False,,,,0
2.0,240,900,2,4,machine,47,False,,False,,,,0
2.0,240,900,2,4,machine,48,False,,False,,,,0
2.0,240,900,2,4,machine,49,False,,False,,,,0
2.0,240,900,2,4,machine,50,False,,False,,,,0
2.0,240,900,2,4,machine,51,False,,False,,,,0
3.0,240,30,6,18,machine,42,True,14.0,True,20.0,machine,True,0
3.0,240,30,6,18,machine,43,True,11.0,True,17.0,machine,True,0
3.0,240,30,6,18,machine,44,True,10.5,True,16.5,machine,True,0
3.0,240,30,6,18,machine,45,True,23.0,True,29.0,machine,True,0
3.0,240,30,6,18,machine,46,True,8.0,True,14.0,machine,True,0
3.0,240,30,6,18,machine,47,True,22.0,True,28.0,machine,True,0
3.0,240,30,6,18,machine,48,True,5.5,True,11.5,machine,True,0
3.0,240,30,6,18,machine,49,True,10.0,True,16.0,machine,True,0
3.0,240,30,6,18,machine,50,True,12.0,True,18.0,machine,True,0
3.0,240,30,6,18,machine,51,True,9.5,True,15.5,machine,True,0
3.0,240,60,3,9,machine,42,True,13.0,True,19.0,machine,True,0
3.0,240,60,3,9,machine,43,True,10.0,True,16.0,machine,True,0
3.0,240,60,3,9,machine,44,True,10.0,True,16.0,machine,True,0
3.0,240,60,3,9,machine,45,True,21.0,True,27.0,machine,True,0
3.0,240,60,3,9,machine,46,True,7.0,True,13.0,machine,True,0
3.0,240,60,3,9,machine,47,True,21.0,True,27.0,machine,True,0
3.0,240,60,3,9,machine,48,True,5.0,True,11.0,machine,True,0
3.0,240,60,3,9,machine,49,True,9.0,True,15.0,machine,True,0
3.0,240,60,3,9,machine,50,True,10.0,True,16.0,machine,True,0
3.0,240,60,3,9,machine,51,True,8.0,True,14.0,machine,True,0
3.0,240,300,2,4,machine,42,True,15.0,False,,machine,True,0
3.0,240,300,2,4,machine,43,True,10.0,True,20.0,machine,True,0
3.0,240,300,2,4,machine,44,True,10.0,True,20.0,machine,True,0
3.0,240,300,2,4,machine,45,True,20.0,False,,machine,True,0
3.0,240,300,2,4,machine,46,True,5.0,True,15.0,machine,True,0
3.0,240,300,2,4,machine,47,True,20.0,True,30.0,machine,True,0
3.0,240,300,2,4,machine,48,True,5.0,False,,machine,True,0
3.0,240,300,2,4,machine,49,True,10.0,True,20.0,machine,True,0
3.0,240,300,2,4,machine,50,True,10.0,False,,machine,True,0
3.0,240,300,2,4,machine,51,True,10.0,True,20.0,machine,True,0
3.0,240,900,2,4,machine,42,False,,False,,,,0
3.0,240,900,2,4,machine,43,True,15.0,False,,machine,True,0
3.0,240,900,2,4,machine,44,False,,False,,,,0
3.0,240,900,2,4,machine,45,False,,False,,,,0
3.0,240,900,2,4,machine,46,False,,False,,,,0
3.0,240,900,2,4,machine,47,False,,False,,,,0
3.0,240,900,2,4,machine,48,False,,False,,,,0
3.0,240,900,2,4,machine,49,True,15.0,False,,machine,True,0
3.0,240,900,2,4,machine,50,False,,False,,,,0
3.0,240,900,2,4,machine,51,False,,False,,,,0
