detector,s,rho,p_det,p_det_lo95,n_seeds,source
D2,0.2941,0.033333,1.0,0.98,200,D2 fast onset ~1.0
D2,0.2941,0.166667,0.97,0.93,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.2941,0.3,0.97,0.93,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.2941,0.4,0.97,0.93,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.2941,0.5,0.97,0.93,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.2941,0.6,0.97,0.93,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.2941,0.7,0.97,0.93,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.2941,0.8,0.96,0.92,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.2941,0.9,0.96,0.92,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.2941,1.0,0.96,0.92,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.2941,1.5,0.95,0.9,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.2941,2.0,0.95,0.9,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.4412,0.033333,1.0,0.98,200,D2 fast onset ~1.0
D2,0.4412,0.166667,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.4412,0.3,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.4412,0.4,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.4412,0.5,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.4412,0.6,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.4412,0.7,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.4412,0.8,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.4412,0.9,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.4412,1.0,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.4412,1.5,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.4412,2.0,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.5882,0.033333,1.0,0.98,200,D2 fast onset ~1.0
D2,0.5882,0.166667,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.5882,0.3,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.5882,0.4,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.5882,0.5,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.5882,0.6,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.5882,0.7,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.5882,0.8,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.5882,0.9,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.5882,1.0,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.5882,1.5,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.5882,2.0,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.8824,0.033333,1.0,0.98,200,D2 fast onset ~1.0
D2,0.8824,0.166667,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.8824,0.3,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.8824,0.4,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.8824,0.5,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.8824,0.6,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.8824,0.7,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.8824,0.8,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.8824,0.9,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.8824,1.0,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.8824,1.5,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,0.8824,2.0,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,1.1765,0.033333,1.0,0.98,200,D2 fast onset ~1.0
D2,1.1765,0.166667,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,1.1765,0.3,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,1.1765,0.4,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,1.1765,0.5,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,1.1765,0.6,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,1.1765,0.7,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,1.1765,0.8,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,1.1765,0.9,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,1.1765,1.0,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,1.1765,1.5,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
D2,1.1765,2.0,1.0,1.0,200,paper2_multiseverity_summary.csv (D2_anchored_cusum)
